year,country_name,marker,value,country_code,units
2012,Australia,Climate unspecified,23374206.0,AUS,USD current
2012,Australia,Adaptation,248028060.0,AUS,USD current
2012,Australia,Cross-cutting,303353760.0,AUS,USD current
2012,Australia,Mitigation,59964030.0,AUS,USD current
2013,Australia,Climate unspecified,83929416.0,AUS,USD current
2013,Australia,Adaptation,151804580.0,AUS,USD current
2013,Australia,Cross-cutting,275342700.0,AUS,USD current
2013,Australia,Mitigation,43434784.0,AUS,USD current
2014,Australia,Climate unspecified,118479340.0,AUS,USD current
2014,Australia,Adaptation,101835540.0,AUS,USD current
2014,Australia,Cross-cutting,236605970.0,AUS,USD current
2014,Australia,Mitigation,18632496.0,AUS,USD current
2015,Australia,Climate unspecified,115318504.0,AUS,USD current
2015,Australia,Adaptation,134206260.0,AUS,USD current
2015,Australia,Cross-cutting,177423700.0,AUS,USD current
2015,Australia,Mitigation,23024656.0,AUS,USD current
2016,Australia,Climate unspecified,179414640.0,AUS,USD current
2016,Australia,Adaptation,136638060.0,AUS,USD current
2016,Australia,Cross-cutting,245714740.0,AUS,USD current
2016,Australia,Mitigation,12162784.0,AUS,USD current
2017,Australia,Climate unspecified,140996880.0,AUS,USD current
2017,Australia,Adaptation,137548780.0,AUS,USD current
2017,Australia,Cross-cutting,186743310.0,AUS,USD current
2017,Australia,Mitigation,21080720.0,AUS,USD current
2018,Australia,Climate unspecified,153873620.0,AUS,USD current
2018,Australia,Adaptation,108931810.0,AUS,USD current
2018,Australia,Cross-cutting,185048380.0,AUS,USD current
2018,Australia,Mitigation,19054704.0,AUS,USD current
2019,Australia,Climate unspecified,147884240.0,AUS,USD current
2019,Australia,Adaptation,323547000.0,AUS,USD current
2019,Australia,Cross-cutting,229539200.0,AUS,USD current
2019,Australia,Mitigation,11410576.0,AUS,USD current
2020,Australia,Climate unspecified,67871020.0,AUS,USD current
2020,Australia,Adaptation,309921470.0,AUS,USD current
2020,Australia,Cross-cutting,396674560.0,AUS,USD current
2020,Australia,Mitigation,57436480.0,AUS,USD current
2021,Australia,Climate unspecified,83819580.0,AUS,USD current
2021,Australia,Adaptation,581739900.0,AUS,USD current
2021,Australia,Cross-cutting,402402750.0,AUS,USD current
2021,Australia,Mitigation,16263936.0,AUS,USD current
2022,Australia,Climate unspecified,97082230.0,AUS,USD current
2022,Australia,Adaptation,581733400.0,AUS,USD current
2022,Australia,Cross-cutting,417314700.0,AUS,USD current
2022,Australia,Mitigation,96629120.0,AUS,USD current
2012,Austria,Climate unspecified,3875278.8,AUT,USD current
2012,Austria,Adaptation,9111996.0,AUT,USD current
2012,Austria,Cross-cutting,2879433.0,AUT,USD current
2012,Austria,Mitigation,12126266.0,AUT,USD current
2013,Austria,Climate unspecified,69960216.0,AUT,USD current
2013,Austria,Adaptation,15987552.0,AUT,USD current
2013,Austria,Cross-cutting,30671360.0,AUT,USD current
2013,Austria,Mitigation,40364016.0,AUT,USD current
2014,Austria,Climate unspecified,53252276.0,AUT,USD current
2014,Austria,Adaptation,16382460.0,AUT,USD current
2014,Austria,Cross-cutting,17185032.0,AUT,USD current
2014,Austria,Mitigation,30370568.0,AUT,USD current
2015,Austria,Climate unspecified,64340868.0,AUT,USD current
2015,Austria,Adaptation,13801938.0,AUT,USD current
2015,Austria,Cross-cutting,8958890.0,AUT,USD current
2015,Austria,Mitigation,30870742.0,AUT,USD current
2016,Austria,Climate unspecified,78369944.0,AUT,USD current
2016,Austria,Adaptation,9953860.0,AUT,USD current
2016,Austria,Cross-cutting,34373360.0,AUT,USD current
2016,Austria,Mitigation,111777500.0,AUT,USD current
2017,Austria,Climate unspecified,76897370.0,AUT,USD current
2017,Austria,Adaptation,18890778.0,AUT,USD current
2017,Austria,Cross-cutting,15252730.0,AUT,USD current
2017,Austria,Mitigation,43576776.0,AUT,USD current
2018,Austria,Climate unspecified,73921350.0,AUT,USD current
2018,Austria,Adaptation,71457600.0,AUT,USD current
2018,Austria,Cross-cutting,34313356.0,AUT,USD current
2018,Austria,Mitigation,175753060.0,AUT,USD current
2019,Austria,Climate unspecified,160196600.0,AUT,USD current
2019,Austria,Adaptation,24943260.0,AUT,USD current
2019,Austria,Cross-cutting,53469508.0,AUT,USD current
2019,Austria,Mitigation,196412430.0,AUT,USD current
2020,Austria,Climate unspecified,126157220.0,AUT,USD current
