year,country_name,marker,value,country_code,units
2020,Austria,Adaptation,25806304.0,AUT,USD current
2020,Austria,Cross-cutting,59082000.0,AUT,USD current
2020,Austria,Mitigation,129176210.0,AUT,USD current
2021,Austria,Climate unspecified,129340530.0,AUT,USD current
2021,Austria,Adaptation,90724840.0,AUT,USD current
2021,Austria,Cross-cutting,56104856.0,AUT,USD current
2021,Austria,Mitigation,85753960.0,AUT,USD current
2022,Austria,Climate unspecified,124657280.0,AUT,USD current
2022,Austria,Adaptation,19540824.0,AUT,USD current
2022,Austria,Cross-cutting,51087270.0,AUT,USD current
2022,Austria,Mitigation,304868100.0,AUT,USD current
2014,Azerbaijan,Climate unspecified,313645.1,AZE,USD current
2015,Azerbaijan,Climate unspecified,233685.16,AZE,USD current
2016,Azerbaijan,Climate unspecified,1643255.5,AZE,USD current
2017,Azerbaijan,Climate unspecified,4079037.0,AZE,USD current
2018,Azerbaijan,Climate unspecified,7249097.5,AZE,USD current
2019,Azerbaijan,Climate unspecified,4042221.8,AZE,USD current
2020,Azerbaijan,Climate unspecified,844925.5,AZE,USD current
2020,Azerbaijan,Adaptation,7382.0,AZE,USD current
2020,Azerbaijan,Mitigation,591238.0,AZE,USD current
2022,Azerbaijan,Climate unspecified,1438103.0,AZE,USD current
2012,Belgium,Climate unspecified,1881284.0,BEL,USD current
2012,Belgium,Adaptation,44120936.0,BEL,USD current
2012,Belgium,Cross-cutting,32322582.0,BEL,USD current
2012,Belgium,Mitigation,24465090.0,BEL,USD current
2013,Belgium,Climate unspecified,101327350.0,BEL,USD current
2013,Belgium,Adaptation,105987520.0,BEL,USD current
2013,Belgium,Cross-cutting,95756240.0,BEL,USD current
2013,Belgium,Mitigation,53728770.0,BEL,USD current
2014,Belgium,Climate unspecified,146636780.0,BEL,USD current
2014,Belgium,Adaptation,102424480.0,BEL,USD current
2014,Belgium,Cross-cutting,147833100.0,BEL,USD current
2014,Belgium,Mitigation,98241340.0,BEL,USD current
2015,Belgium,Climate unspecified,41211896.0,BEL,USD current
2015,Belgium,Adaptation,175268220.0,BEL,USD current
2015,Belgium,Cross-cutting,119074250.0,BEL,USD current
2015,Belgium,Mitigation,29840264.0,BEL,USD current
2016,Belgium,Climate unspecified,70839980.0,BEL,USD current
2016,Belgium,Adaptation,94636110.0,BEL,USD current
2016,Belgium,Cross-cutting,112766240.0,BEL,USD current
2016,Belgium,Mitigation,23998288.0,BEL,USD current
2017,Belgium,Climate unspecified,42958524.0,BEL,USD current
2017,Belgium,Adaptation,136668830.0,BEL,USD current
2017,Belgium,Cross-cutting,85998560.0,BEL,USD current
2017,Belgium,Mitigation,130622700.0,BEL,USD current
2018,Belgium,Climate unspecified,79062584.0,BEL,USD current
2018,Belgium,Adaptation,67591896.0,BEL,USD current
2018,Belgium,Cross-cutting,110828184.0,BEL,USD current
2018,Belgium,Mitigation,102721670.0,BEL,USD current
2019,Belgium,Climate unspecified,136465940.0,BEL,USD current
2019,Belgium,Adaptation,68639380.0,BEL,USD current
2019,Belgium,Cross-cutting,242585040.0,BEL,USD current
2019,Belgium,Mitigation,17270032.0,BEL,USD current
2020,Belgium,Climate unspecified,155065200.0,BEL,USD current
2020,Belgium,Adaptation,100609440.0,BEL,USD current
2020,Belgium,Cross-cutting,136920860.0,BEL,USD current
2020,Belgium,Mitigation,66657616.0,BEL,USD current
2021,Belgium,Climate unspecified,172114910.0,BEL,USD current
2021,Belgium,Adaptation,91471780.0,BEL,USD current
2021,Belgium,Cross-cutting,139397170.0,BEL,USD current
2021,Belgium,Mitigation,42235664.0,BEL,USD current
2022,Belgium,Climate unspecified,184496780.0,BEL,USD current
2022,Belgium,Adaptation,43316704.0,BEL,USD current
2022,Belgium,Cross-cutting,148023420.0,BEL,USD current
2022,Belgium,Mitigation,47149904.0,BEL,USD current
2015,Bulgaria,Climate unspecified,243876.8,BGR,USD current
2016,Bulgaria,Climate unspecified,2308266.8,BGR,USD current
2017,Bulgaria,Climate unspecified,449775.0,BGR,USD current
2018,Bulgaria,Climate unspecified,695534.4,BGR,USD current
2019,Bulgaria,Climate unspecified,786632.6,BGR,USD current
2020,Bulgaria,Climate unspecified,2247239.5,BGR,USD current
2021,Bulgaria,Climate unspecified,541353.56,BGR,USD current
2022,Bulgaria,Climate unspecified,1401210.0,BGR,USD current
2012,Canada,Climate unspecified,216889600.0,CAN,USD current
2012,Canada,Adaptation,185727580.0,CAN,USD current
2012,Canada,Cross-cutting,337055070.0,CAN,USD current
2012,Canada,Mitigation,45039616.0,CAN,USD current
2013,Canada,Climate unspecified,176360530.0,CAN,USD current
2013,Canada,Adaptation,41976270.0,CAN,USD current
2013,Canada,Cross-cutting,186566060.0,CAN,USD current
2013,Canada,Mitigation,74010460.0,CAN,USD current
2014,Canada,Climate unspecified,151318530.0,CAN,USD current
2014,Canada,Adaptation,48609830.0,CAN,USD current
2014,Canada,Cross-cutting,81533250.0,CAN,USD current
2014,Canada,Mitigation,3261048.0,CAN,USD current
2015,Canada,Climate unspecified,155334420.0,CAN,USD current
2015,Canada,Adaptation,161609120.0,CAN,USD current
2015,Canada,Cross-cutting,111360960.0,CAN,USD current
2015,Canada,Mitigation,55332096.0,CAN,USD current
2016,Canada,Climate unspecified,265663470.0,CAN,USD current
2016,Canada,Adaptation,203159300.0,CAN,USD current
2016,Canada,Cross-cutting,299325470.0,CAN,USD current
2016,Canada,Mitigation,125983070.0,CAN,USD current
2017,Canada,Climate unspecified,173277580.0,CAN,USD current
2017,Canada,Adaptation,44682624.0,CAN,USD current
2017,Canada,Cross-cutting,324669820.0,CAN,USD current
2017,Canada,Mitigation,13120800.0,CAN,USD current
2018,Canada,Climate unspecified,177453000.0,CAN,USD current
2018,Canada,Adaptation,52938176.0,CAN,USD current
2018,Canada,Cross-cutting,561814100.0,CAN,USD current
2018,Canada,Mitigation,45459650.0,CAN,USD current
2019,Canada,Climate unspecified,339516700.0,CAN,USD current
2019,Canada,Adaptation,286950500.0,CAN,USD current
2019,Canada,Cross-cutting,248693600.0,CAN,USD current
2019,Canada,Mitigation,8139648.0,CAN,USD current
2020,Canada,Climate unspecified,252308880.0,CAN,USD current
2020,Canada,Adaptation,85163040.0,CAN,USD current
2020,Canada,Cross-cutting,65765292.0,CAN,USD current
2020,Canada,Mitigation,345140450.0,CAN,USD current
2021,Canada,Climate unspecified,243077710.0,CAN,USD current
2021,Canada,Adaptation,228188740.0,CAN,USD current
2021,Canada,Cross-cutting,400920130.0,CAN,USD current
2021,Canada,Mitigation,32160352.0,CAN,USD current
2022,Canada,Climate unspecified,727077760.0,CAN,USD current
2022,Canada,Adaptation,129946380.0,CAN,USD current
2022,Canada,Cross-cutting,241319310.0,CAN,USD current
2022,Canada,Mitigation,849110300.0,CAN,USD current
2019,Chinese Taipei,Climate unspecified,5805533.5,TWN,USD current
2020,Chinese Taipei,Climate unspecified,52256100.0,TWN,USD current
2018,Croatia,Climate unspecified,269475.53,HRV,USD current
2019,Croatia,Climate unspecified,997550.6,HRV,USD current
2020,Croatia,Climate unspecified,1285290.0,HRV,USD current
2021,Croatia,Climate unspecified,270104.97,HRV,USD current
2022,Croatia,Climate unspecified,328827.47,HRV,USD current
2015,Cyprus,Climate unspecified,54554.0,CYP,USD current
2018,Cyprus,Climate unspecified,102518.0,CYP,USD current
2019,Cyprus,Climate unspecified,1121248.2,CYP,USD current
2020,Cyprus,Climate unspecified,933709.94,CYP,USD current
2021,Cyprus,Climate unspecified,804113.4,CYP,USD current
2022,Cyprus,Climate unspecified,893199.0,CYP,USD current
2012,Czechia,Climate unspecified,651484.75,CZE,USD current
2012,Czechia,Adaptation,3653490.5,CZE,USD current
2012,Czechia,Cross-cutting,413290.8,CZE,USD current
2012,Czechia,Mitigation,1485851.0,CZE,USD current
2013,Czechia,Climate unspecified,1841813.4,CZE,USD current
2013,Czechia,Adaptation,3445124.5,CZE,USD current
2013,Czechia,Cross-cutting,343465.75,CZE,USD current
2013,Czechia,Mitigation,1955583.2,CZE,USD current
2014,Czechia,Climate unspecified,5480464.5,CZE,USD current
2014,Czechia,Adaptation,3727758.2,CZE,USD current
2014,Czechia,Cross-cutting,130071.586,CZE,USD current
2014,Czechia,Mitigation,1526124.4,CZE,USD current
2015,Czechia,Climate unspecified,4755788.0,CZE,USD current
2015,Czechia,Adaptation,2749399.5,CZE,USD current
2015,Czechia,Cross-cutting,543241.0,CZE,USD current
2015,Czechia,Mitigation,2755821.5,CZE,USD current
2016,Czechia,Climate unspecified,4865388.5,CZE,USD current
2016,Czechia,Adaptation,3060660.0,CZE,USD current
2016,Czechia,Cross-cutting,446951.5,CZE,USD current
2016,Czechia,Mitigation,1799675.0,CZE,USD current
2017,Czechia,Climate unspecified,2857810.0,CZE,USD current
2017,Czechia,Adaptation,3783084.5,CZE,USD current
2017,Czechia,Cross-cutting,561141.4,CZE,USD current
2017,Czechia,Mitigation,1559572.6,CZE,USD current
2018,Czechia,Climate unspecified,3362143.5,CZE,USD current
2018,Czechia,Adaptation,4931938.5,CZE,USD current
2018,Czechia,Cross-cutting,856413.0,CZE,USD current
2018,Czechia,Mitigation,1741573.2,CZE,USD current
2019,Czechia,Climate unspecified,5989769.0,CZE,USD current
2019,Czechia,Adaptation,4002232.5,CZE,USD current
2019,Czechia,Cross-cutting,918116.1,CZE,USD current
2019,Czechia,Mitigation,2432702.0,CZE,USD current
2020,Czechia,Climate unspecified,7400257.0,CZE,USD current
2020,Czechia,Adaptation,3495761.8,CZE,USD current
2020,Czechia,Cross-cutting,1746395.2,CZE,USD current
2020,Czechia,Mitigation,2034715.5,CZE,USD current
2021,Czechia,Climate unspecified,7396612.0,CZE,USD current
2021,Czechia,Adaptation,4866357.0,CZE,USD current
2021,Czechia,Cross-cutting,1606882.6,CZE,USD current
2021,Czechia,Mitigation,2017482.6,CZE,USD current
2022,Czechia,Climate unspecified,7657738.0,CZE,USD current
2022,Czechia,Adaptation,3311457.2,CZE,USD current
2022,Czechia,Cross-cutting,1052491.2,CZE,USD current
2022,Czechia,Mitigation,1137421.8,CZE,USD current
2012,Denmark,Climate unspecified,10152313.0,DNK,USD current
2012,Denmark,Adaptation,112146670.0,DNK,USD current
2012,Denmark,Cross-cutting,210493100.0,DNK,USD current
2012,Denmark,Mitigation,39966144.0,DNK,USD current
2013,Denmark,Climate unspecified,64238364.0,DNK,USD current
2013,Denmark,Adaptation,9293376.0,DNK,USD current
2013,Denmark,Cross-cutting,332293150.0,DNK,USD current
2013,Denmark,Mitigation,35334430.0,DNK,USD current
2014,Denmark,Climate unspecified,68339370.0,DNK,USD current
2014,Denmark,Cross-cutting,362012740.0,DNK,USD current
2014,Denmark,Mitigation,111310270.0,DNK,USD current
2015,Denmark,Climate unspecified,60614536.0,DNK,USD current
2015,Denmark,Adaptation,22443600.0,DNK,USD current
2015,Denmark,Cross-cutting,155679170.0,DNK,USD current
2015,Denmark,Mitigation,41606850.0,DNK,USD current
2016,Denmark,Climate unspecified,63037540.0,DNK,USD current
2016,Denmark,Adaptation,27581408.0,DNK,USD current
2016,Denmark,Cross-cutting,55217600.0,DNK,USD current
2016,Denmark,Mitigation,47677290.0,DNK,USD current
2017,Denmark,Climate unspecified,83055430.0,DNK,USD current
2017,Denmark,Adaptation,56279790.0,DNK,USD current
2017,Denmark,Cross-cutting,100648180.0,DNK,USD current
2017,Denmark,Mitigation,42307650.0,DNK,USD current
2018,Denmark,Climate unspecified,102310960.0,DNK,USD current
2018,Denmark,Adaptation,124980810.0,DNK,USD current
2018,Denmark,Cross-cutting,111069000.0,DNK,USD current
2018,Denmark,Mitigation,61536600.0,DNK,USD current
2019,Denmark,Climate unspecified,85924140.0,DNK,USD current
2019,Denmark,Adaptation,174319220.0,DNK,USD current
2019,Denmark,Cross-cutting,188625680.0,DNK,USD current
2019,Denmark,Mitigation,186226580.0,DNK,USD current
2020,Denmark,Climate unspecified,163499170.0,DNK,USD current
2020,Denmark,Adaptation,99287360.0,DNK,USD current
2020,Denmark,Cross-cutting,99292450.0,DNK,USD current
2020,Denmark,Mitigation,170481630.0,DNK,USD current
2021,Denmark,Climate unspecified,186949950.0,DNK,USD current
2021,Denmark,Adaptation,138871800.0,DNK,USD current
2021,Denmark,Cross-cutting,102660210.0,DNK,USD current
2021,Denmark,Mitigation,240022900.0,DNK,USD current
2022,Denmark,Climate unspecified,60525336.0,DNK,USD current
2022,Denmark,Adaptation,126630910.0,DNK,USD current
2022,Denmark,Cross-cutting,165574370.0,DNK,USD current
2022,Denmark,Mitigation,239264800.0,DNK,USD current
2012,EU Institutions (excl. EIB),Climate unspecified,1344616.6,EUI,USD current
2012,EU Institutions (excl. EIB),Adaptation,500396160.0,EUI,USD current
2012,EU Institutions (excl. EIB),Cross-cutting,1218546000.0,EUI,USD current
2012,EU Institutions (excl. EIB),Mitigation,656336400.0,EUI,USD current
2013,EU Institutions (excl. EIB),Climate unspecified,113579.4,EUI,USD current
2013,EU Institutions (excl. EIB),Adaptation,822473700.0,EUI,USD current
2013,EU Institutions (excl. EIB),Cross-cutting,1136823900.0,EUI,USD current
2013,EU Institutions (excl. EIB),Mitigation,791089400.0,EUI,USD current
2014,EU Institutions (excl. EIB),Adaptation,424154700.0,EUI,USD current
2014,EU Institutions (excl. EIB),Cross-cutting,822435000.0,EUI,USD current
2014,EU Institutions (excl. EIB),Mitigation,569919800.0,EUI,USD current
2015,EU Institutions (excl. EIB),Climate unspecified,436317.25,EUI,USD current
2015,EU Institutions (excl. EIB),Adaptation,961040640.0,EUI,USD current
2015,EU Institutions (excl. EIB),Cross-cutting,1496388400.0,EUI,USD current
2015,EU Institutions (excl. EIB),Mitigation,734008600.0,EUI,USD current
2016,EU Institutions (excl. EIB),Climate unspecified,783926.4,EUI,USD current
2016,EU Institutions (excl. EIB),Adaptation,2303246300.0,EUI,USD current
2016,EU Institutions (excl. EIB),Cross-cutting,1737322000.0,EUI,USD current
2016,EU Institutions (excl. EIB),Mitigation,1838847500.0,EUI,USD current
2017,EU Institutions (excl. EIB),Climate unspecified,456870.7,EUI,USD current
2017,EU Institutions (excl. EIB),Adaptation,1660742400.0,EUI,USD current
2017,EU Institutions (excl. EIB),Cross-cutting,2737799400.0,EUI,USD current
2017,EU Institutions (excl. EIB),Mitigation,1133769700.0,EUI,USD current
2018,EU Institutions (excl. EIB),Climate unspecified,1044152.0,EUI,USD current
2018,EU Institutions (excl. EIB),Adaptation,1934955800.0,EUI,USD current
2018,EU Institutions (excl. EIB),Cross-cutting,2748266200.0,EUI,USD current
2018,EU Institutions (excl. EIB),Mitigation,880919800.0,EUI,USD current
2019,EU Institutions (excl. EIB),Climate unspecified,827989.06,EUI,USD current
2019,EU Institutions (excl. EIB),Adaptation,2718385000.0,EUI,USD current
2019,EU Institutions (excl. EIB),Cross-cutting,1917461800.0,EUI,USD current
2019,EU Institutions (excl. EIB),Mitigation,958744300.0,EUI,USD current
2020,EU Institutions (excl. EIB),Climate unspecified,790912.0,EUI,USD current
2020,EU Institutions (excl. EIB),Adaptation,1201421300.0,EUI,USD current
2020,EU Institutions (excl. EIB),Cross-cutting,2432567600.0,EUI,USD current
2020,EU Institutions (excl. EIB),Mitigation,945036000.0,EUI,USD current
2021,EU Institutions (excl. EIB),Climate unspecified,3464302.2,EUI,USD current
2021,EU Institutions (excl. EIB),Adaptation,404151040.0,EUI,USD current
2021,EU Institutions (excl. EIB),Cross-cutting,3449378300.0,EUI,USD current
2021,EU Institutions (excl. EIB),Mitigation,1866820600.0,EUI,USD current
2022,EU Institutions (excl. EIB),Climate unspecified,27295.957,EUI,USD current
2022,EU Institutions (excl. EIB),Adaptation,1443723800.0,EUI,USD current
2022,EU Institutions (excl. EIB),Cross-cutting,4706201600.0,EUI,USD current
2022,EU Institutions (excl. EIB),Mitigation,1688817200.0,EUI,USD current
2013,Estonia,Climate unspecified,334193.56,EST,USD current
2014,Estonia,Climate unspecified,752315.94,EST,USD current
2015,Estonia,Climate unspecified,1362709.4,EST,USD current
2016,Estonia,Climate unspecified,779784.0,EST,USD current
2017,Estonia,Climate unspecified,394707.3,EST,USD current
2018,Estonia,Climate unspecified,510651.1,EST,USD current
2019,Estonia,Climate unspecified,571910.56,EST,USD current
2020,Estonia,Climate unspecified,657451.2,EST,USD current
2020,Estonia,Cross-cutting,303133.9,EST,USD current
2021,Estonia,Climate unspecified,1434082.6,EST,USD current
2021,Estonia,Cross-cutting,1356433.2,EST,USD current
2022,Estonia,Climate unspecified,2228097.5,EST,USD current
2022,Estonia,Adaptation,193500.89,EST,USD current
2012,Finland,Climate unspecified,7492881.5,FIN,USD current
2012,Finland,Adaptation,75441360.0,FIN,USD current
2012,Finland,Cross-cutting,46712710.0,FIN,USD current
2012,Finland,Mitigation,14442296.0,FIN,USD current
2013,Finland,Climate unspecified,59387496.0,FIN,USD current
2013,Finland,Adaptation,25814584.0,FIN,USD current
2013,Finland,Cross-cutting,46090816.0,FIN,USD current
2013,Finland,Mitigation,38408250.0,FIN,USD current
2014,Finland,Climate unspecified,89161224.0,FIN,USD current
2014,Finland,Adaptation,47964790.0,FIN,USD current
2014,Finland,Cross-cutting,18216284.0,FIN,USD current
2014,Finland,Mitigation,61110980.0,FIN,USD current
2015,Finland,Climate unspecified,91678770.0,FIN,USD current
2015,Finland,Adaptation,24638692.0,FIN,USD current
2015,Finland,Cross-cutting,32188368.0,FIN,USD current
2015,Finland,Mitigation,15034048.0,FIN,USD current
2016,Finland,Climate unspecified,24217046.0,FIN,USD current
2016,Finland,Adaptation,18014032.0,FIN,USD current
2016,Finland,Cross-cutting,25812656.0,FIN,USD current
2016,Finland,Mitigation,35472056.0,FIN,USD current
2017,Finland,Climate unspecified,37905984.0,FIN,USD current
2017,Finland,Adaptation,684560.0,FIN,USD current
2017,Finland,Cross-cutting,145499950.0,FIN,USD current
2017,Finland,Mitigation,36923600.0,FIN,USD current
2018,Finland,Climate unspecified,50953444.0,FIN,USD current
2018,Finland,Adaptation,33098316.0,FIN,USD current
2018,Finland,Cross-cutting,35954172.0,FIN,USD current
2018,Finland,Mitigation,55143788.0,FIN,USD current
2019,Finland,Climate unspecified,90455896.0,FIN,USD current
2019,Finland,Adaptation,91537336.0,FIN,USD current
2019,Finland,Cross-cutting,15011375.0,FIN,USD current
2019,Finland,Mitigation,87167280.0,FIN,USD current
2020,Finland,Climate unspecified,94466290.0,FIN,USD current
2020,Finland,Adaptation,41272896.0,FIN,USD current
2020,Finland,Cross-cutting,49853510.0,FIN,USD current
2020,Finland,Mitigation,74245780.0,FIN,USD current
2021,Finland,Climate unspecified,144947740.0,FIN,USD current
2021,Finland,Adaptation,90688540.0,FIN,USD current
2021,Finland,Cross-cutting,148518800.0,FIN,USD current
2021,Finland,Mitigation,71095970.0,FIN,USD current
2022,Finland,Climate unspecified,74899950.0,FIN,USD current
2022,Finland,Adaptation,21730344.0,FIN,USD current
2022,Finland,Cross-cutting,96475000.0,FIN,USD current
2022,Finland,Mitigation,10022424.0,FIN,USD current
2012,France,Climate unspecified,15975305.0,FRA,USD current
2012,France,Adaptation,722942300.0,FRA,USD current
2012,France,Cross-cutting,228907970.0,FRA,USD current
2012,France,Mitigation,3783634700.0,FRA,USD current
2013,France,Climate unspecified,195482780.0,FRA,USD current
2013,France,Adaptation,369254200.0,FRA,USD current
2013,France,Cross-cutting,232737980.0,FRA,USD current
2013,France,Mitigation,1968449500.0,FRA,USD current
2014,France,Climate unspecified,217143400.0,FRA,USD current
2014,France,Adaptation,650325440.0,FRA,USD current
2014,France,Cross-cutting,522997440.0,FRA,USD current
2014,France,Mitigation,1948883700.0,FRA,USD current
2015,France,Climate unspecified,381314850.0,FRA,USD current
2015,France,Adaptation,748315800.0,FRA,USD current
2015,France,Cross-cutting,461455780.0,FRA,USD current
2015,France,Mitigation,2429321200.0,FRA,USD current
2016,France,Climate unspecified,286356580.0,FRA,USD current
2016,France,Adaptation,714176100.0,FRA,USD current
2016,France,Cross-cutting,366680480.0,FRA,USD current
2016,France,Mitigation,2017005400.0,FRA,USD current
2017,France,Climate unspecified,798325440.0,FRA,USD current
2017,France,Adaptation,899055170.0,FRA,USD current
2017,France,Cross-cutting,830979650.0,FRA,USD current
2017,France,Mitigation,2682926300.0,FRA,USD current
2018,France,Climate unspecified,783984200.0,FRA,USD current
2018,France,Adaptation,311237920.0,FRA,USD current
2018,France,Cross-cutting,402160600.0,FRA,USD current
2018,France,Mitigation,1266357500.0,FRA,USD current
2019,France,Climate unspecified,593030500.0,FRA,USD current
2019,France,Adaptation,1322067600.0,FRA,USD current
2019,France,Cross-cutting,1341679200.0,FRA,USD current
2019,France,Mitigation,2803261400.0,FRA,USD current
2020,France,Climate unspecified,360733400.0,FRA,USD current
2020,France,Adaptation,2249638000.0,FRA,USD current
2020,France,Cross-cutting,3008914400.0,FRA,USD current
2020,France,Mitigation,2284882000.0,FRA,USD current
2021,France,Climate unspecified,841173060.0,FRA,USD current
2021,France,Adaptation,4569364500.0,FRA,USD current
2021,France,Cross-cutting,50952710.0,FRA,USD current
2021,France,Mitigation,3042468000.0,FRA,USD current
2022,France,Climate unspecified,1409031400.0,FRA,USD current
2022,France,Adaptation,1346098700.0,FRA,USD current
2022,France,Cross-cutting,3725019100.0,FRA,USD current
2022,France,Mitigation,3094431200.0,FRA,USD current
2012,Germany,Climate unspecified,50245264.0,DEU,USD current
2012,Germany,Adaptation,984672700.0,DEU,USD current
2012,Germany,Cross-cutting,577749700.0,DEU,USD current
2012,Germany,Mitigation,2061165000.0,DEU,USD current
2013,Germany,Climate unspecified,427299040.0,DEU,USD current
2013,Germany,Adaptation,1308140300.0,DEU,USD current
2013,Germany,Cross-cutting,512973630.0,DEU,USD current
2013,Germany,Mitigation,2212406500.0,DEU,USD current
2014,Germany,Climate unspecified,442147300.0,DEU,USD current
2014,Germany,Adaptation,1626618100.0,DEU,USD current
2014,Germany,Cross-cutting,1203359700.0,DEU,USD current
2014,Germany,Mitigation,4524431000.0,DEU,USD current
2015,Germany,Climate unspecified,430561570.0,DEU,USD current
2015,Germany,Adaptation,1583280600.0,DEU,USD current
2015,Germany,Cross-cutting,921934850.0,DEU,USD current
2015,Germany,Mitigation,2693585000.0,DEU,USD current
2016,Germany,Climate unspecified,608424900.0,DEU,USD current
2016,Germany,Adaptation,1373664800.0,DEU,USD current
2016,Germany,Cross-cutting,1031201500.0,DEU,USD current
2016,Germany,Mitigation,4365330000.0,DEU,USD current
2017,Germany,Climate unspecified,619284800.0,DEU,USD current
2017,Germany,Adaptation,1770729900.0,DEU,USD current
2017,Germany,Cross-cutting,1617004200.0,DEU,USD current
2017,Germany,Mitigation,3336866300.0,DEU,USD current
2018,Germany,Climate unspecified,835416450.0,DEU,USD current
2018,Germany,Adaptation,2173724700.0,DEU,USD current
2018,Germany,Cross-cutting,1771457200.0,DEU,USD current
2018,Germany,Mitigation,4059674000.0,DEU,USD current
2019,Germany,Climate unspecified,541192960.0,DEU,USD current
2019,Germany,Adaptation,2918573000.0,DEU,USD current
2019,Germany,Cross-cutting,1723139500.0,DEU,USD current
2019,Germany,Mitigation,3509745700.0,DEU,USD current
2020,Germany,Climate unspecified,633009000.0,DEU,USD current
2020,Germany,Adaptation,2690948000.0,DEU,USD current
2020,Germany,Cross-cutting,1851137200.0,DEU,USD current
2020,Germany,Mitigation,3796472300.0,DEU,USD current
2021,Germany,Climate unspecified,1142579100.0,DEU,USD current
2021,Germany,Adaptation,2806430700.0,DEU,USD current
